Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
PgKY4OV2-1_R2	10.828982634474144	52.0	98.25176438105932	0.0	16131861.0
PgPA18C-02_R1	9.549550509451024	50.0	99.2305506065883	0.0	20869674.0
PgPA18C-02_R2	8.6040303511965	50.0	97.98428437358437	0.0	20869674.0
SSFL02_R1	17.457024391092318	50.0	215.72981465476752	9.090909090909092	2970187.0
SSFL02_R2	15.71894441774036	50.0	217.57804340265446	18.181818181818183	2970187.0
SSFL14-3_R1	20.444995064927284	48.0	222.06632564362582	9.090909090909092	3065873.0
SSFL14-3_R2	18.693359047272907	49.0	223.4186324743393	18.181818181818183	3065873.0
T25_R1	11.731451761191934	51.0	250.0	9.090909090909092	13229717.0
T25_R2	11.149540947540004	51.0	250.0	18.181818181818183	13229717.0
TG0004_R1	19.24434434484158	50.0	151.0	0.0	7836183.0
TG0004_R2	17.26319670687529	50.0	151.0	0.0	7836183.0
TG0032_R1	22.227796099932178	50.0	151.0	0.0	11539189.0
TG0032_R2	19.130673105455344	50.0	151.0	0.0	11539189.0
TN0001_R1	21.597666783754747	50.0	151.0	0.0	9031422.0
TN0001_R2	19.151572155713055	50.0	151.0	0.0	9031422.0
TN0002_R1	23.442720138829458	50.0	151.0	0.0	11034274.0
TN0002_R2	20.478112428003186	50.0	151.0	0.0	11034274.0
TN0050_R1	19.614848073775477	51.0	150.0	0.0	11636071.0
TN0050_R2	17.008180228010744	51.0	150.0	0.0	11636071.0
TN0057_R1	22.785465245655658	50.0	151.0	0.0	11732409.0
TN0057_R2	19.620109340665593	50.0	151.0	0.0	11732409.0
TN0065_R1	24.374998203394824	50.0	151.0	0.0	14702538.0
TN0065_R2	20.72494088498503	49.0	151.0	0.0	14702538.0
TN0090_R1	22.01849440357873	50.0	151.0	0.0	11611731.0
TN0090_R2	18.898360714238407	50.0	151.0	0.0	11611731.0
TR0025_R1	21.655297767997723	51.0	150.0	0.0	14654436.0
TR0025_R2	19.09945624766351	51.0	150.0	0.0	14654436.0
US0041_R1	21.09123372944491	50.0	151.0	0.0	7987470.0
US0041_R2	18.65193364617177	50.0	151.0	0.0	7987470.0
US0064_R1	24.406075914084994	49.0	150.0	0.0	14805986.0
