Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
IN0114_R1	IN0114_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11810162.0	0.0	151.0	50.0	77.20540553857266	151.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
IN0114_R2	IN0114_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11810162.0	0.0	151.0	50.0	79.61235235217303	151.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
IN0115_R1	IN0115_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13173876.0	0.0	151.0	50.0	75.80210967397542	151.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass
IN0115_R2	IN0115_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13173876.0	0.0	151.0	50.0	78.94959523085473	151.0	pass	warn	warn	pass	pass	warn	pass	pass	pass	pass	pass
IN0116_R1	IN0116_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13320426.0	0.0	151.0	50.0	75.16778280669344	151.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass
IN0116_R2	IN0116_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13320426.0	0.0	151.0	50.0	78.0385778664947	151.0	pass	pass	warn	pass	pass	warn	pass	pass	pass	pass	pass
INA168_R1	INA168_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28816283.0	0.0	75.0	48.0	73.87705922759791	75.0	pass	fail	fail	pass	warn	warn	pass	pass	pass	pass	pass
INA168_R2	INA168_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28816283.0	0.0	75.0	48.0	73.46407012114715	75.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	pass	pass
IR00102_R1	IR00102_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16956380.0	0.0	150.0	49.0	78.48219068502526	150.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
IR00102_R2	IR00102_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16956380.0	0.0	150.0	49.0	80.83972630114714	150.0	pass	pass	warn	pass	pass	warn	pass	pass	pass	warn	pass
IR0013_R1	IR0013_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15097517.0	0.0	150.0	48.0	79.09210837775746	150.0	pass	pass	warn	pass	pass	warn	pass	pass	pass	warn	pass
IR0013_R2	IR0013_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15097517.0	0.0	150.0	48.0	81.9948296279481	150.0	pass	pass	warn	pass	pass	warn	pass	pass	pass	warn	pass
IR0015_R1	IR0015_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13992874.0	0.0	150.0	49.0	79.09142987751875	150.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
IR0015_R2	IR0015_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13992874.0	0.0	150.0	49.0	81.71632686093034	150.0	pass	pass	warn	pass	pass	warn	pass	pass	pass	warn	pass
IR0083_R1	IR0083_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11442190.0	0.0	150.0	49.0	82.28236281269206	150.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass
IR0083_R2	IR0083_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11442190.0	0.0	150.0	49.0	84.38847082513684	150.0	pass	pass	warn	pass	pass	warn	pass	pass	pass	pass	pass
IR0084_R1	IR0084_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17479082.0	0.0	150.0	48.0	78.34226006492688	150.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass
IR0084_R2	IR0084_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17479082.0	0.0	150.0	48.0	80.37625189146162	150.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass
IR0088_R1	IR0088_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17848961.0	0.0	150.0	48.0	72.77440758325713	150.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass
IR0088_R2	IR0088_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17848961.0	0.0	150.0	48.0	75.78676392342224	150.0	pass	pass	warn	pass	pass	warn	pass	pass	pass	warn	pass
IR0095_R1	IR0095_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15763533.0	0.0	150.0	48.0	77.19796750130234	150.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
IR0095_R2	IR0095_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15763533.0	0.0	150.0	48.0	79.33267276908431	150.0	pass	pass	warn	pass	pass	warn	pass	pass	pass	warn	pass
IT0010_R1	IT0010_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16778871.0	0.0	150.0	50.0	75.45752860225296	150.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
IT0010_R2	IT0010_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16778871.0	0.0	150.0	50.0	78.67014828783762	150.0	pass	pass	warn	pass	pass	pass	pass	pass	pass	pass	pass
JP0091_R1	JP0091_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14264726.0	0.0	150.0	50.0	79.84096142296531	150.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
JP0091_R2	JP0091_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14264726.0	0.0	150.0	50.0	82.00493299454556	150.0	pass	pass	warn	pass	pass	warn	pass	pass	pass	warn	pass
LpKY-97-1_R1	LpKY-97-1_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5633080.0	0.0	35-251	49.0	80.8199613254364	173.8978812656664	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
LpKY-97-1_R2	LpKY-97-1_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5633080.0	0.0	35-251	49.0	81.14806479809658	174.84689352893977	pass	warn	pass	pass	fail	warn	pass	warn	pass	pass	pass
ML0060_R1	ML0060_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13678921.0	0.0	150.0	50.0	79.63772341735132	150.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
ML0060_R2	ML0060_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13678921.0	0.0	150.0	51.0	81.33127553539283	150.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
ML0062_R1	ML0062_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8976477.0	0.0	151.0	50.0	77.86732929091335	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
ML0062_R2	ML0062_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8976477.0	0.0	151.0	50.0	80.43651773745808	151.0	pass	pass	warn	pass	pass	pass	pass	pass	pass	pass	pass
ML33_R1	ML33_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3553694.0	0.0	35-251	50.0	75.03734451316785	226.44200147789877	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
ML33_R2	ML33_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3553694.0	0.0	35-251	50.0	76.49114030129145	227.3346360153688	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
NG0012_R1	NG0012_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7106748.0	0.0	151.0	50.0	79.89279804286534	151.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass
NG0012_R2	NG0012_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7106748.0	0.0	151.0	50.0	82.22893974951656	151.0	pass	pass	warn	pass	pass	warn	pass	pass	pass	pass	pass
